Fecha,Descripción,Depósitos,Retiros,Saldo
07-ABR-25,COMISION 09297542C,0.0,3.58,4191.04
07-ABR-25,IVA COMISION 09297542C,0.0,0.57,4190.47
07-ABR-25,LOS TAMALES D TERESI 09297542D,1000.0,0.0,5190.47
07-ABR-25,COMISION 09297542D,0.0,19.9,5170.57
07-ABR-25,IVA COMISION 09297542D,0.0,3.18,5167.39
07-ABR-25,LOS TAMALES D TERESI 09316975C,9752.6,0.0,14919.99
07-ABR-25,COMISION 09316975C,0.0,210.64,14709.35
07-ABR-25,IVA COMISION 09316975C,0.0,33.75,14675.6
07-ABR-25,LOS TAMALES D TERESI 09316975D,8327.7,0.0,23003.3
07-ABR-25,COMISION 09316975D,0.0,165.73,22837.57
07-ABR-25,IVA COMISION 09316975D,0.0,26.53,22811.04
07-ABR-25,JEGC ABARROTES 09371029C,253.0,0.0,23064.04
07-ABR-25,COMISION 09371029C,0.0,1.9,23062.14
07-ABR-25,IVA COMISION 09371029C,0.0,0.31,23061.83
07-ABR-25,JEGC ABARROTES 09371029D,781.0,0.0,23842.83
07-ABR-25,COMISION 09371029D,0.0,5.88,23836.95
07-ABR-25,IVA COMISION 09371029D,0.0,0.94,23836.01
07-ABR-25,OXXO GASDEL MOLINERO RFC:SGM 950714DC2,0.0,2272.07,21563.94
07-ABR-25,LOS TAMALES D TERESI 09297542C,2796.5,0.0,24360.44
07-ABR-25,COMISION 09297542C,0.0,55.65,24304.79
07-ABR-25,IVA COMISION 09297542C,0.0,8.92,24295.87
07-ABR-25,LOS TAMALES D TERESI 09297542D,3759.9,0.0,28055.77
07-ABR-25,COMISION 09297542D,0.0,79.67,27976.1
07-ABR-25,IVA COMISION 09297542D,0.0,12.76,27963.34
07-ABR-25,JEGC ABARROTES 09371029C,302.0,0.0,28265.34
07-ABR-25,COMISION 09371029C,0.0,2.27,28263.07
07-ABR-25,IVA COMISION 09371029C,0.0,0.37,28262.7
07-ABR-25,JEGC ABARROTES 09371029D,756.0,0.0,29018.7
07-ABR-25,COMISION 09371029D,0.0,5.68,29013.02
07-ABR-25,IVA COMISION 09371029D,0.0,0.91,29012.11
07-ABR-25,LOS TAMALES D TERESI 09316975C,2336.8,0.0,31348.91
07-ABR-25,COMISION 09316975C,0.0,46.5,31302.41
07-ABR-25,IVA COMISION 09316975C,0.0,7.45,31294.96
07-ABR-25,LOS TAMALES D TERESI 09316975D,3496.5,0.0,34791.46
07-ABR-25,COMISION 09316975D,0.0,69.57,34721.89
07-ABR-25,IVA COMISION 09316975D,0.0,11.14,34710.75
07-ABR-25,"BNET01002504070035464467 SPEI RECIBIDO, BCO:0012 BBVA MEXICO HR LIQ: 14:11:54 DEL",27000.0,0.0,61710.75
07-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0007042025 IVA:00000000.00 , A LA CUENTA: 0401639300",0.0,4811.08,56899.67
07-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0007042025 IVA:00000000.00 , A LA CUENTA: 1164054755",0.0,8939.16,47960.51
07-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0007042025 IVA:00000000.00 , A LA CUENTA: 0131038259",0.0,6050.0,41910.51
07-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0070425 =REFERENCIA CTA/CLABE: 058076490166500124, BXI",0.0,2198.8,39711.71
07-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0007042025 IVA:00000000.00 , A LA CUENTA: 0158008004",0.0,3984.64,35727.07
07-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0070425 =REFERENCIA CTA/CLABE: 058580420048300115, BXI",0.0,3067.85,32659.22
07-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0007042025 IVA:00000000.00 , A LA CUENTA: 0037014729",0.0,7400.0,25259.22
07-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0070425 =REFERENCIA CTA/CLABE: 012580004587649058, BXI",0.0,1758.24,23500.98
07-ABR-25,ESMI00022200100726040000000000 000429 CARGO COBRANZA DOMICILIADA,0.0,220.58,23280.4
08-ABR-25,ICV 3 MOD EL ENCINO RFC:ICV 051202LD4,0.0,14766.0,8514.4
08-ABR-25,LOS TAMALES D TERESI 09316975C,6229.0,0.0,14743.4
08-ABR-25,COMISION 09316975C,0.0,123.97,14619.43
08-ABR-25,IVA COMISION 09316975C,0.0,19.84,14599.59
08-ABR-25,LOS TAMALES D TERESI 09316975D,8369.0,0.0,22968.59
08-ABR-25,COMISION 09316975D,0.0,166.54,22802.05
08-ABR-25,IVA COMISION 09316975D,0.0,26.63,22775.42
08-ABR-25,JEGC ABARROTES 09371029C,194.52,0.0,22969.94
08-ABR-25,COMISION 09371029C,0.0,1.46,22968.48
08-ABR-25,IVA COMISION 09371029C,0.0,0.23,22968.25
08-ABR-25,JEGC ABARROTES 09371029D,167.0,0.0,23135.25
08-ABR-25,COMISION 09371029D,0.0,1.26,23133.99
08-ABR-25,IVA COMISION 09371029D,0.0,0.2,23133.79
08-ABR-25,"TRASP FONDOS 0000250408 AL R.F.C. GACE960201DVA , A LA CUENTA: 1271004201 IVA: . 0",0.0,1800.0,21333.79
09-ABR-25,LOS TAMALES D TERESI 09316975C,3714.1,0.0,25047.89
09-ABR-25,COMISION 09316975C,0.0,73.9,24973.99
09-ABR-25,IVA COMISION 09316975C,0.0,11.82,24962.17
09-ABR-25,LOS TAMALES D TERESI 09316975D,5110.0,0.0,30072.17
09-ABR-25,COMISION 09316975D,0.0,101.69,29970.48
09-ABR-25,IVA COMISION 09316975D,0.0,16.28,29954.2
09-ABR-25,JEGC ABARROTES 09371029C,647.5,0.0,30601.7
09-ABR-25,COMISION 09371029C,0.0,4.86,30596.84
09-ABR-25,IVA COMISION 09371029C,0.0,0.79,30596.05
09-ABR-25,JEGC ABARROTES 09371029D,581.0,0.0,31177.05
09-ABR-25,COMISION 09371029D,0.0,4.38,31172.67
09-ABR-25,IVA COMISION 09371029D,0.0,0.69,31171.98
10-ABR-25,OXXO GASLAS MISIONES I RFC:SGM 950714DC2,0.0,2262.29,28909.69
10-ABR-25,LOS TAMALES D TERESI 09316975C,8404.9,0.0,37314.59
10-ABR-25,COMISION 09316975C,0.0,167.29,37147.3
10-ABR-25,IVA COMISION 09316975C,0.0,26.78,37120.52
10-ABR-25,LOS TAMALES D TERESI 09316975D,7965.6,0.0,45086.12
10-ABR-25,COMISION 09316975D,0.0,158.52,44927.6
10-ABR-25,IVA COMISION 09316975D,0.0,25.36,44902.24
10-ABR-25,JEGC ABARROTES 09371029C,338.0,0.0,45240.24
10-ABR-25,COMISION 09371029C,0.0,2.55,45237.69
10-ABR-25,IVA COMISION 09371029C,0.0,0.41,45237.28
10-ABR-25,JEGC ABARROTES 09371029D,96.0,0.0,45333.28
10-ABR-25,COMISION 09371029D,0.0,0.73,45332.55
10-ABR-25,IVA COMISION 09371029D,0.0,0.12,45332.43
10-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0010042025 IVA:00000000.00 , A LA CUENTA: 0231130451",0.0,3143.05,42189.38
10-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0100425 =REFERENCIA CTA/CLABE: 012580004587649058, BXI",0.0,1356.48,40832.9
11-ABR-25,JEGC ABARROTES 09371029C,389.0,0.0,41221.9
11-ABR-25,COMISION 09371029C,0.0,2.92,41218.98
11-ABR-25,IVA COMISION 09371029C,0.0,0.47,41218.51
11-ABR-25,JEGC ABARROTES 09371029D,1319.5,0.0,42538.01
11-ABR-25,COMISION 09371029D,0.0,9.91,42528.1
11-ABR-25,IVA COMISION 09371029D,0.0,1.58,42526.52
11-ABR-25,LOS TAMALES D TERESI 09316975C,3236.0,0.0,45762.52
11-ABR-25,COMISION 09316975C,0.0,68.02,45694.5
11-ABR-25,IVA COMISION 09316975C,0.0,10.88,45683.62
11-ABR-25,LOS TAMALES D TERESI 09316975D,2568.5,0.0,48252.12
11-ABR-25,COMISION 09316975D,0.0,51.12,48201.0
11-ABR-25,IVA COMISION 09316975D,0.0,8.17,48192.83
11-ABR-25,RETIRO DEP. ELECTRONICO DE LA EMISORA : 04499,0.0,11182.8,37010.03
12-ABR-25,CARGO POR PAGO CONCENTRACION COMISION FEDERA,0.0,25590.0,11420.03
14-ABR-25,LOS TAMALES D TERESI 09316975C,9840.1,0.0,21260.13
14-ABR-25,COMISION 09316975C,0.0,203.26,21056.87
14-ABR-25,IVA COMISION 09316975C,0.0,32.54,21024.33
14-ABR-25,LOS TAMALES D TERESI 09316975D,15870.1,0.0,36894.43
14-ABR-25,COMISION 09316975D,0.0,315.84,36578.59
14-ABR-25,IVA COMISION 09316975D,0.0,50.55,36528.04
14-ABR-25,JEGC ABARROTES 09371029C,636.0,0.0,37164.04
14-ABR-25,COMISION 09371029C,0.0,4.77,37159.27
14-ABR-25,IVA COMISION 09371029C,0.0,0.76,37158.51
14-ABR-25,JEGC ABARROTES 09371029D,1781.65,0.0,38940.16
14-ABR-25,COMISION 09371029D,0.0,13.39,38926.77
14-ABR-25,IVA COMISION 09371029D,0.0,2.13,38924.64
14-ABR-25,JEGC ABARROTES 09371029C,254.0,0.0,39178.64
14-ABR-25,COMISION 09371029C,0.0,1.91,39176.73
14-ABR-25,IVA COMISION 09371029C,0.0,0.3,39176.43
14-ABR-25,JEGC ABARROTES 09371029D,492.5,0.0,39668.93
14-ABR-25,COMISION 09371029D,0.0,3.7,39665.23
14-ABR-25,IVA COMISION 09371029D,0.0,0.59,39664.64
14-ABR-25,LOS TAMALES D TERESI 09316975C,3458.75,0.0,43123.39
14-ABR-25,COMISION 09316975C,0.0,68.83,43054.56
14-ABR-25,IVA COMISION 09316975C,0.0,11.02,43043.54
14-ABR-25,LOS TAMALES D TERESI 09316975D,10693.3,0.0,53736.84
14-ABR-25,COMISION 09316975D,0.0,212.8,53524.04
14-ABR-25,IVA COMISION 09316975D,0.0,34.06,53489.98
14-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0140425 =REFERENCIA CTA/CLABE: 021180550300084609, BXI",0.0,2576.0,50913.98
14-ABR-25,PAGO DE LDC-IMSS ALTA: Y1UVY7S84C9322C8L6065000GHNL0000000000000000000007KHR ID,0.0,7693.77,43220.21
14-ABR-25,PAGO DE LDC-IMSS ALTA: D2INRSUK4C932GP2E6065000BM44000000000000000000000BGGZ ID,0.0,5418.76,37801.45
14-ABR-25,PAGO DE LDC-IMSS ALTA: D2KXWI7A4C932ADWY60650002VCT000000000000000000000IDAN ID,0.0,1339.49,36461.96
14-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0014042025 IVA:00000000.00 , A LA CUENTA: 0037014729",0.0,6700.0,29761.96
14-ABR-25,"TRASPASO A CUENTA DE TERCEROS 0014042025 IVA:00000000.00 , A LA CUENTA: 0464680567",0.0,2548.8,27213.16
14-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0140425 =REFERENCIA CTA/CLABE: 127580013955702092, BXI",0.0,2388.96,24824.2
15-ABR-25,JEGC ABARROTES 09371029C,130.0,0.0,24954.2
15-ABR-25,COMISION 09371029C,0.0,0.98,24953.22
15-ABR-25,IVA COMISION 09371029C,0.0,0.16,24953.06
15-ABR-25,JEGC ABARROTES 09371029D,630.0,0.0,25583.06
15-ABR-25,COMISION 09371029D,0.0,4.72,25578.34
15-ABR-25,IVA COMISION 09371029D,0.0,0.76,25577.58
15-ABR-25,LOS TAMALES D TERESI 09316975C,4591.0,0.0,30168.58
15-ABR-25,COMISION 09316975C,0.0,111.26,30057.32
15-ABR-25,IVA COMISION 09316975C,0.0,17.81,30039.51
15-ABR-25,LOS TAMALES D TERESI 09316975D,7215.0,0.0,37254.51
15-ABR-25,COMISION 09316975D,0.0,143.57,37110.94
16-ABR-25,COMISION 09371029D,0.0,7.65,26322.36
16-ABR-25,IVA COMISION 09371029D,0.0,1.22,26321.14
16-ABR-25,PAGO DE IVA 087907560,0.0,1324.76,24996.38
16-ABR-25,PAGO DE CAPITAL 087907560,0.0,14040.72,10955.66
16-ABR-25,PAGO DE INTERESES 087907560,0.0,8279.78,2675.88
16-ABR-25,INTERESES NO REALES 087907560,0.0,2675.88,0.0
17-ABR-25,DEPOSITO DE CUENTA DE TERCEROS DEPOSITO EFECTIVO SUC. 7ELEVEN 00403 REFERENCIA,3000.0,0.0,3000.0
17-ABR-25,DEPOSITO DE CUENTA DE TERCEROS DEPOSITO EFECTIVO SUC. 7ELEVEN 00403 REFERENCIA,5000.0,0.0,8000.0
17-ABR-25,"TRASPASO 0000250417 , DE LA CUENTA: 1273380477",4300.0,0.0,12300.0
19-ABR-25,PAGO DE CAPITAL 087907560,0.0,9822.62,2477.38
21-ABR-25,JEGC ABARROTES 09371029C,916.0,0.0,3393.38
21-ABR-25,COMISION 09371029C,0.0,6.89,3386.49
21-ABR-25,IVA COMISION 09371029C,0.0,1.09,3385.4
21-ABR-25,JEGC ABARROTES 09371029D,1014.24,0.0,4399.64
21-ABR-25,COMISION 09371029D,0.0,7.63,4392.01
21-ABR-25,IVA COMISION 09371029D,0.0,1.22,4390.79
21-ABR-25,LOS TAMALES D TERESI 09316975C,28457.85,0.0,32848.64
15-ABR-25,IVA COMISION 09316975D,0.0,22.97,37087.97
15-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0150425 =REFERENCIA CTA/CLABE: 012580004436911442, BXI",0.0,14500.0,22587.97
15-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0150425 =REFERENCIA CTA/CLABE: 012580004436911442, BXI",0.0,1508.0,21079.97
16-ABR-25,ICV MODULO VALLE OTE RFC:ICV 051202LD4,0.0,1924.0,19155.97
16-ABR-25,TTO PAY*TENENCIAS RFC:ICV 051202LD4,0.0,5657.0,13498.97
16-ABR-25,LOS TAMALES D TERESI 09316975C,3259.0,0.0,16757.97
16-ABR-25,COMISION 09316975C,0.0,64.85,16693.12
16-ABR-25,IVA COMISION 09316975C,0.0,10.38,16682.74
16-ABR-25,LOS TAMALES D TERESI 09316975D,8744.9,0.0,25427.64
16-ABR-25,COMISION 09316975D,0.0,174.02,25253.62
16-ABR-25,IVA COMISION 09316975D,0.0,27.87,25225.75
16-ABR-25,JEGC ABARROTES 09371029C,85.0,0.0,25310.75
16-ABR-25,COMISION 09371029C,0.0,0.64,25310.11
16-ABR-25,IVA COMISION 09371029C,0.0,0.1,25310.01
16-ABR-25,JEGC ABARROTES 09371029D,1020.0,0.0,26330.01
16-ABR-25,COMISION 09371029D,0.0,7.65,26322.36
16-ABR-25,IVA COMISION 09371029D,0.0,1.22,26321.14
16-ABR-25,PAGO DE IVA 087907560,0.0,1324.76,24996.38
16-ABR-25,PAGO DE CAPITAL 087907560,0.0,14040.72,10955.66
16-ABR-25,PAGO DE INTERESES 087907560,0.0,8279.78,2675.88
16-ABR-25,INTERESES NO REALES 087907560,0.0,2675.88,0.0
17-ABR-25,DEPOSITO DE CUENTA DE TERCEROS DEPOSITO EFECTIVO SUC. 7ELEVEN 00403 REFERENCIA,3000.0,0.0,3000.0
17-ABR-25,DEPOSITO DE CUENTA DE TERCEROS DEPOSITO EFECTIVO SUC. 7ELEVEN 00403 REFERENCIA,5000.0,0.0,8000.0
17-ABR-25,"TRASPASO 0000250417 , DE LA CUENTA: 1273380477",4300.0,0.0,12300.0
19-ABR-25,PAGO DE CAPITAL 087907560,0.0,9822.62,2477.38
21-ABR-25,JEGC ABARROTES 09371029C,916.0,0.0,3393.38
21-ABR-25,COMISION 09371029C,0.0,6.89,3386.49
21-ABR-25,IVA COMISION 09371029C,0.0,1.09,3385.4
21-ABR-25,JEGC ABARROTES 09371029D,1014.24,0.0,4399.64
21-ABR-25,COMISION 09371029D,0.0,7.63,4392.01
21-ABR-25,IVA COMISION 09371029D,0.0,1.22,4390.79
21-ABR-25,LOS TAMALES D TERESI 09316975C,28457.85,0.0,32848.64
21-ABR-25,COMISION 09316975C,0.0,572.19,32276.45
21-ABR-25,IVA COMISION 09316975C,0.0,91.57,32184.88
21-ABR-25,LOS TAMALES D TERESI 09316975D,31314.73,0.0,63499.61
21-ABR-25,COMISION 09316975D,0.0,623.17,62876.44
21-ABR-25,IVA COMISION 09316975D,0.0,99.69,62776.75
21-ABR-25,LOS TAMALES D TERESI 09316975C,9673.4,0.0,72450.15
21-ABR-25,COMISION 09316975C,0.0,192.49,72257.66
21-ABR-25,IVA COMISION 09316975C,0.0,30.79,72226.87
21-ABR-25,LOS TAMALES D TERESI 09316975D,5581.6,0.0,77808.47
21-ABR-25,COMISION 09316975D,0.0,111.07,77697.4
21-ABR-25,IVA COMISION 09316975D,0.0,17.78,77679.62
21-ABR-25,JEGC ABARROTES 09371029D,349.0,0.0,78028.62
21-ABR-25,COMISION 09371029D,0.0,2.62,78026.0
21-ABR-25,IVA COMISION 09371029D,0.0,0.42,78025.58
21-ABR-25,CARGO POR PAGO CONCENTRACION COMISION FEDERA,0.0,22001.0,56024.58
21-ABR-25,"COMPRA ORDEN DE PAGO SPEI 0250421 =REFERENCIA CTA/CLABE: 5206940300154844 , BXI SPEI",0.0,9500.0,46524.58
21-ABR-25,RETIRO DEP. ELECTRONICO DE LA EMISORA : 04499,0.0,7279.6,39244.98
21-ABR-25,"TRASP FONDOS 0000250421 IVA: . 0 , A LA CUENTA: 4189140059882521 PAGO SEMANAL AL R.F.C.",0.0,8100.0,31144.98
21-ABR-25,PAGO DE IVA 089133851,0.0,798.03,30346.95
